# Last updated: 2026-07-20
# Scope: Doctor Who (2005), Doctor Who (2023), Torchwood, The Sarah Jane Adventures and Class, all holiday/anniversary specials; excludes other specials, minisodes and prequels, the Classic Doctor Who (1963) and the 1996 TV Movie
# Ordered by air date and time per TVmaze
tvdb_episode:78804_7_7  # S07E07 - The Rings of Akhaten
tvdb_episode:78804_7_8  # S07E08 - Cold War
tvdb_episode:78804_7_9  # S07E09 - Hide
tvdb_episode:78804_7_10  # S07E10 - Journey to the Centre of the TARDIS
tvdb_episode:78804_7_11  # S07E11 - The Crimson Horror
tvdb_episode:78804_7_12  # S07E12 - Nightmare in Silver
tvdb_episode:78804_7_13  # S07E13 - The Name of the Doctor
tvdb_episode:78804_0_83  # S00E83 - The Day of the Doctor
tvdb_episode:78804_0_84  # S00E84 - The Time of the Doctor
tvdb_episode:78804_8_1  # S08E01 - Deep Breath
tvdb_episode:78804_8_2  # S08E02 - Into the Dalek
tvdb_episode:78804_8_3  # S08E03 - Robot of Sherwood
tvdb_episode:78804_8_4  # S08E04 - Listen
tvdb_episode:78804_8_5  # S08E05 - Time Heist
tvdb_episode:78804_8_6  # S08E06 - The Caretaker
tvdb_episode:78804_8_7  # S08E07 - Kill the Moon
tvdb_episode:78804_8_8  # S08E08 - Mummy on the Orient Express
tvdb_episode:78804_8_9  # S08E09 - Flatline
tvdb_episode:78804_8_10  # S08E10 - In the Forest of the Night
tvdb_episode:78804_8_11  # S08E11 - Dark Water
tvdb_episode:78804_8_12  # S08E12 - Death in Heaven
tvdb_episode:78804_0_142  # S00E142 - Last Christmas
tvdb_episode:78804_9_1  # S09E01 - The Magician's Apprentice
tvdb_episode:78804_9_2  # S09E02 - The Witch's Familiar
tvdb_episode:78804_9_3  # S09E03 - Under the Lake
tvdb_episode:78804_9_4  # S09E04 - Before the Flood
tvdb_episode:78804_9_5  # S09E05 - The Girl Who Died
tvdb_episode:78804_9_6  # S09E06 - The Woman Who Lived
tvdb_episode:78804_9_7  # S09E07 - The Zygon Invasion
tvdb_episode:78804_9_8  # S09E08 - The Zygon Inversion
tvdb_episode:78804_9_9  # S09E09 - Sleep No More
tvdb_episode:78804_9_10  # S09E10 - Face The Raven
tvdb_episode:78804_9_11  # S09E11 - Heaven Sent
tvdb_episode:78804_9_12  # S09E12 - Hell Bent
tvdb_episode:78804_0_148  # S00E148 - The Husbands of River Song
tvdb_episode:309893_1_1  # S01E01 - For Tonight We Might Die
tvdb_episode:309893_1_2  # S01E02 - The Coach with the Dragon Tattoo
tvdb_episode:309893_1_3  # S01E03 - Nightvisiting
tvdb_episode:309893_1_4  # S01E04 - Co-Owner of a Lonely Heart
tvdb_episode:309893_1_5  # S01E05 - Brave-ish Heart
tvdb_episode:309893_1_6  # S01E06 - Detained
tvdb_episode:309893_1_7  # S01E07 - The Metaphysical Engine, or What Quill Did
tvdb_episode:309893_1_8  # S01E08 - The Lost
tvdb_episode:78804_0_149  # S00E149 - The Return of Doctor Mysterio
tvdb_episode:78804_10_1  # S10E01 - The Pilot
tvdb_episode:78804_10_2  # S10E02 - Smile
tvdb_episode:78804_10_3  # S10E03 - Thin Ice
tvdb_episode:78804_10_4  # S10E04 - Knock Knock
tvdb_episode:78804_10_5  # S10E05 - Oxygen
tvdb_episode:78804_10_6  # S10E06 - Extremis
tvdb_episode:78804_10_7  # S10E07 - The Pyramid at the End of the World
tvdb_episode:78804_10_8  # S10E08 - The Lie of the Land
tvdb_episode:78804_10_9  # S10E09 - Empress of Mars
tvdb_episode:78804_10_10  # S10E10 - The Eaters of Light
tvdb_episode:78804_10_11  # S10E11 - World Enough and Time
tvdb_episode:78804_10_12  # S10E12 - The Doctor Falls
tvdb_episode:78804_0_154  # S00E154 - Twice Upon a Time
tvdb_episode:78804_11_1  # S11E01 - The Woman Who Fell to Earth
tvdb_episode:78804_11_2  # S11E02 - The Ghost Monument
tvdb_episode:78804_11_3  # S11E03 - Rosa
tvdb_episode:78804_11_4  # S11E04 - Arachnids in the UK
tvdb_episode:78804_11_5  # S11E05 - The Tsuranga Conundrum
tvdb_episode:78804_11_6  # S11E06 - Demons of the Punjab
tvdb_episode:78804_11_7  # S11E07 - Kerblam!
tvdb_episode:78804_11_8  # S11E08 - The Witchfinders
tvdb_episode:78804_11_9  # S11E09 - It Takes You Away
tvdb_episode:78804_11_10  # S11E10 - The Battle of Ranskoor Av Kolos
tvdb_episode:78804_0_156  # S00E156 - Resolution
tvdb_episode:78804_12_1  # S12E01 - Spyfall, Part 1
tvdb_episode:78804_12_2  # S12E02 - Spyfall, Part 2
tvdb_episode:78804_12_3  # S12E03 - Orphan 55
tvdb_episode:78804_12_4  # S12E04 - Nikola Tesla's Night of Terror
tvdb_episode:78804_12_5  # S12E05 - Fugitive of the Judoon
tvdb_episode:78804_12_6  # S12E06 - Praxeus
tvdb_episode:78804_12_7  # S12E07 - Can You Hear Me?
tvdb_episode:78804_12_8  # S12E08 - The Haunting of Villa Diodati
tvdb_episode:78804_12_9  # S12E09 - Ascension of the Cybermen
tvdb_episode:78804_12_10  # S12E10 - The Timeless Children
tvdb_episode:78804_0_157  # S00E157 - Revolution of the Daleks
tvdb_episode:78804_13_1  # S13E01 - Chapter One: The Halloween Apocalypse
tvdb_episode:78804_13_2  # S13E02 - Chapter Two: War of the Sontarans
tvdb_episode:78804_13_3  # S13E03 - Chapter Three: Once, Upon Time
tvdb_episode:78804_13_4  # S13E04 - Chapter Four: Village of the Angels
tvdb_episode:78804_13_5  # S13E05 - Chapter Five: Survivors of the Flux
tvdb_episode:78804_13_6  # S13E06 - Chapter Six: The Vanquishers
tvdb_episode:78804_0_158  # S00E158 - Eve of the Daleks
tvdb_episode:78804_0_159  # S00E159 - Legend of the Sea Devils
tvdb_episode:78804_0_161  # S00E161 - The Power of the Doctor
tvdb_episode:449991_0_1  # S00E01 - The Star Beast
tvdb_episode:449991_0_2  # S00E02 - Wild Blue Yonder
tvdb_episode:449991_0_3  # S00E03 - The Giggle
tvdb_episode:449991_0_4  # S00E04 - The Church on Ruby Road
tvdb_episode:449991_1_1  # S01E01 - Space Babies
tvdb_episode:449991_1_2  # S01E02 - The Devil's Chord
tvdb_episode:449991_1_3  # S01E03 - Boom
tvdb_episode:449991_1_4  # S01E04 - 73 Yards
tvdb_episode:449991_1_5  # S01E05 - Dot and Bubble
tvdb_episode:449991_1_6  # S01E06 - Rogue
tvdb_episode:449991_1_7  # S01E07 - The Legend of Ruby Sunday
tvdb_episode:449991_1_8  # S01E08 - Empire of Death
tvdb_episode:449991_0_5  # S00E05 - Joy to the World
tvdb_episode:449991_2_1  # S02E01 - The Robot Revolution
tvdb_episode:449991_2_2  # S02E02 - Lux
tvdb_episode:449991_2_3  # S02E03 - The Well
tvdb_episode:449991_2_4  # S02E04 - Lucky Day
tvdb_episode:449991_2_5  # S02E05 - The Story & the Engine
tvdb_episode:449991_2_6  # S02E06 - The Interstellar Song Contest
tvdb_episode:449991_2_7  # S02E07 - Wish World
tvdb_episode:449991_2_8  # S02E08 - The Reality War
tvdb_episode:444613_1_1  # S01E01 - Homo Aqua
tvdb_episode:444613_1_2  # S01E02 - Plastic Apocalypse
tvdb_episode:444613_1_3  # S01E03 - The Deep
tvdb_episode:444613_1_4  # S01E04 - The Witch of the Waterfall
tvdb_episode:444613_1_5  # S01E05 - The End of the War
